0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
*,10
#,11
LEFT,12
UP,13
RIGHT,14
DOWN,15
TICK,16
X,17
F1,18
F2,19
F3,20
F4,21
F5,22
MENU,23
ID,24
POWER ON,100
POWER OFF,101
